Week,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee
8,Sun,20/10/2019,15:00 (14:00),Udinese,1.8,1â€“0,1.1,Torino,"24,049",Dacia Arena,Rosario Abisso
8,Sun,20/10/2019,15:00 (14:00),Cagliari,1.3,2â€“0,1.2,SPAL,"15,713",Sardegna Arena,Daniele Chiffi
8,Sun,20/10/2019,15:00 (14:00),Sampdoria,0.6,0â€“0,0.7,Roma,"20,211",Stadio Comunale Luigi Ferraris,Fabio Maresca
8,Sun,20/10/2019,18:00 (17:00),Parma,3,5â€“1,1.6,Genoa,"15,299",Stadio Ennio Tardini,Paolo Valeri
8,Sun,20/10/2019,20:45 (19:45),Milan,1.4,2â€“2,1.4,Lecce,"48,703",Stadio Giuseppe Meazza,Fabrizio Pasqua
8,Mon,21/10/2019,21:00 (20:00),Brescia,0.2,0â€“0,1.3,Fiorentina,"16,000",Stadio Mario Rigamonti,Giampaolo Calvarese
9,Fri,25/10/2019,20:45 (19:45),Hellas Verona,1.1,0â€“1,1.4,Sassuolo,"11,453",Stadio Marc'Antonio Bentegodi,Luca Pairetto
9,Sat,26/10/2019,15:00 (14:00),Lecce,1.1,1â€“1,3.4,Juventus,"26,591",Stadio Comunale Via Del Mare,Paolo Valeri
9,Sat,26/10/2019,18:00 (17:00),Inter,2.6,2â€“2,0.8,Parma,"67,076",Stadio Giuseppe Meazza,Daniele Chiffi
9,Sat,26/10/2019,20:45 (19:45),Genoa,1.1,3â€“1,1.2,Brescia,"20,949",Stadio Comunale Luigi Ferraris,Rosario Abisso
9,Sun,27/10/2019,12:30 (11:30),Bologna,1.5,2â€“1,0.8,Sampdoria,"24,099",Stadio Renato Dall'Ara,Daniele Doveri
9,Sun,27/10/2019,15:00 (14:00),SPAL,0.6,1â€“1,1,Napoli,"14,726",Stadio Paolo Mazza,Federico La Penna
9,Sun,27/10/2019,15:00 (14:00),Atalanta,5.6,7â€“1,1,Udinese,"18,677",Stadio Atleti Azzurri d'Italia,Fabio Maresca
9,Sun,27/10/2019,15:00 (14:00),Torino,0.9,1â€“1,0.5,Cagliari,"21,213",Stadio Olimpico di Torino,Michael Fabbri
9,Sun,27/10/2019,18:00 (17:00),Roma,1.5,2â€“1,0.6,Milan,"44,333",Stadio Olimpico,Daniele Orsato
9,Sun,27/10/2019,20:45 (19:45),Fiorentina,0.7,1â€“2,2.3,Lazio,"33,281",Stadio Artemio Franchi,Marco Guida
10,Tue,29/10/2019,19:00 (18:00),Parma,1.3,0â€“1,0.2,Hellas Verona,"14,638",Stadio Ennio Tardini,Gianluca Manganiello
10,Tue,29/10/2019,21:00 (20:00),Brescia,2,1â€“2,1,Inter,"16,500",Stadio Mario Rigamonti,Michael Fabbri
10,Wed,30/10/2019,19:00 (18:00),Napoli,2.7,2â€“2,1.3,Atalanta,"30,061",Stadio San Paolo,Piero Giacomelli
10,Wed,30/10/2019,21:00 (20:00),Juventus,2.4,2â€“1,0.4,Genoa,"38,732",Allianz Stadium,Antonio Giua
10,Wed,30/10/2019,21:00 (20:00),Lazio,2.5,4â€“0,0.7,Torino,"25,000",Stadio Olimpico,Daniele Orsato
10,Wed,30/10/2019,21:00 (20:00),Sassuolo,1.1,1â€“2,1.5,Fiorentina,"11,863",Stadio Città del Tricolore,Maurizio Mariani
10,Wed,30/10/2019,21:00 (20:00),Udinese,0.8,0â€“4,3.1,Roma,"23,854",Dacia Arena,Massimiliano Irrati
10,Wed,30/10/2019,21:00 (20:00),Sampdoria,1.9,1â€“1,1.2,Lecce,"18,685",Stadio Comunale Luigi Ferraris,Davide Massa
10,Wed,30/10/2019,21:00 (20:00),Cagliari,1.4,3â€“2,1,Bologna,"16,076",Sardegna Arena,Juan Sacchi
