Week,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee
8,Sat,24/10/2020,17:00 (16:00),Lorient,0.5,0â€“1,1.3,Marseille,,Stade Yves Allainmat - Le Moustoir,Benoît Bastien
8,Sat,24/10/2020,21:00 (20:00),Paris S-G,4.6,4â€“0,1.7,Dijon,,Parc des Princes,Johan Hamel
8,Sun,25/10/2020,15:00 (14:00),Montpellier,0.2,0â€“4,4,Reims,,Stade de la Mosson,Willy Delajod
8,Sun,25/10/2020,15:00 (14:00),Brest,0.9,0â€“3,1.1,Strasbourg,,Stade Francis-Le Blé, Jérôme Miguelgorry
8,Sun,25/10/2020,15:00 (14:00),Bordeaux,2.3,2â€“0,0.9,Nîmes,,Stade Matmut-Atlantique,Bastien Dechepy
8,Sun,25/10/2020,17:00 (16:00),Nice,1,1â€“1,0.5,Lille,,Stade de Nice,Franck Schneider
8,Sun,25/10/2020,21:00 (20:00),Lyon,3.2,4â€“1,1.9,Monaco,,Groupama Stadium,Jérôme Brisard
9,Sat,31/10/2020,17:00 (16:00),Rennes,1.5,2â€“1,0.7,Brest,,Roazhon Park,Stéphanie Frappart
9,Sat,31/10/2020,21:00 (20:00),Nantes,1.7,0â€“3,2.1,Paris S-G,,Stade de la Beaujoire - Louis Fonteneau,Hakim Ben El Hadj Salem
9,Sun,01/11/2020,13:00 (12:00),Saint-Étienne,0.7,0â€“1,0.6,Montpellier,,Stade Geoffroy-Guichard, Jérôme Miguelgorry
9,Sun,01/11/2020,15:00 (14:00),Angers,0.4,0â€“3,2.3,Nice,,Stade Raymond Kopa,Jeremy Stinat
9,Sun,01/11/2020,15:00 (14:00),Dijon,0.4,0â€“0,1.1,Lorient,, Stade Gaston Gérard, Aurélien Petit
9,Sun,01/11/2020,15:00 (14:00),Reims,0.7,2â€“1,1.9,Strasbourg,,Stade Auguste-Delaune II,Eric Wattellier
9,Sun,01/11/2020,15:00 (14:00),Nîmes,1.1,0â€“1,1.5,Metz,,Stade des Costières,Amaury Delerue
9,Sun,01/11/2020,17:00 (16:00),Monaco,3,4â€“0,0.3,Bordeaux,,Stade Louis II.,Ruddy Buquet
9,Sun,01/11/2020,21:00 (20:00),Lille,0.5,1â€“1,0.8,Lyon,,Stade Pierre-Mauroy,Mikael Lesage
10,Fri,06/11/2020,21:00 (20:00),Strasbourg,0.3,0â€“1,0.1,Marseille,,Stade de la Meinau,Johan Hamel
10,Sat,07/11/2020,17:00 (16:00),Bordeaux,0.6,0â€“2,1.5,Montpellier,,Stade Matmut-Atlantique,Antony Gautier
