Week,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee
15,Sat,14/12/2019,15:30 (14:30),Bayern Munich,4.9,6â€“1,0.5,Werder Bremen,"75,000",Allianz Arena, Robert Schröder
15,Sat,14/12/2019,15:30 (14:30),Paderborn 07,1,1â€“1,1.3,Union Berlin,"14,414",Benteler-Arena,Sven Jablonski
15,Sat,14/12/2019,15:30 (14:30),Mainz 05,0.2,0â€“4,1.2,Dortmund,"33,305",Opel Arena,Benjamin Cortus
15,Sat,14/12/2019,15:30 (14:30), Köln,1.5,2â€“0,0.2,Leverkusen,"49,500",RheinEnergieSTADION,Manuel GrÃ¤fe
15,Sat,14/12/2019,18:30 (17:30), Düsseldorf,0.1,0â€“3,3.4,RB Leipzig,"35,387",Merkur Spielarena,Robert Hartmann
15,Sun,15/12/2019,15:30 (14:30),Wolfsburg,1.1,2â€“1,0.4,M'Gladbach,"25,580",Volkswagen Arena,Felix Brych
15,Sun,15/12/2019,18:00 (17:00),Schalke 04,1,1â€“0,0.7,Eint Frankfurt,"60,811",Veltins-Arena,Felix Zwayer
16,Tue,17/12/2019,18:30 (17:30),Werder Bremen,1,0â€“5,2.8,Mainz 05,"37,720",Weserstadion,Frank Willenborg
16,Tue,17/12/2019,20:30 (19:30),Dortmund,1.1,3â€“3,2.5,RB Leipzig,"80,200",Signal Iduna Park,Tobias Stieler
16,Tue,17/12/2019,20:30 (19:30),Union Berlin,1.3,0â€“2,0.8,Hoffenheim,"20,350",Stadion An der Alten Försterei,Sören Storks
16,Tue,17/12/2019,20:30 (19:30),Augsburg,1.2,3â€“0,0.4, Düsseldorf,"27,763",WWK Arena,Marco Fritz
16,Wed,18/12/2019,18:30 (17:30),Leverkusen,0.9,0â€“1,1.2,Hertha BSC,"24,472",BayArena,Bastian Dankert
16,Wed,18/12/2019,20:30 (19:30),Eint Frankfurt,1.4,2â€“4,2.5, Köln,"50,300",Commerzbank-Arena,Deniz Aytekin
16,Wed,18/12/2019,20:30 (19:30),Freiburg,1.7,1â€“3,3.4,Bayern Munich,"24,000",Schwarzwald-Stadion,Sascha Stegemann
16,Wed,18/12/2019,20:30 (19:30),M'Gladbach,2.5,2â€“0,0.5,Paderborn 07,"44,494",Stadion im Borussia-Park,Robert Kampka
16,Wed,18/12/2019,20:30 (19:30),Wolfsburg,2.1,1â€“1,1.2,Schalke 04,"24,651",Volkswagen Arena,Martin Petersen
17,Fri,20/12/2019,20:30 (19:30),Hoffenheim,1.1,2â€“1,1.7,Dortmund,"30,150",PreZero Arena,Felix Zwayer
17,Sat,21/12/2019,15:30 (14:30),Mainz 05,1.9,0â€“1,1.5,Leverkusen,"24,345",Opel Arena,Patrick Ittrich
17,Sat,21/12/2019,15:30 (14:30), Köln,1.1,1â€“0,0.2,Werder Bremen,"50,000",RheinEnergieSTADION,Daniel Schlager
17,Sat,21/12/2019,15:30 (14:30),RB Leipzig,3.3,3â€“1,0.5,Augsburg,"40,562",Red Bull Arena,Daniel Siebert
17,Sat,21/12/2019,15:30 (14:30),Schalke 04,1.6,2â€“2,2.8,Freiburg,"61,867",Veltins-Arena,Felix Brych
17,Sat,21/12/2019,15:30 (14:30),Bayern Munich,1.3,2â€“0,0.9,Wolfsburg,"75,000",Allianz Arena,Christian Dingert
17,Sat,21/12/2019,18:30 (17:30),Hertha BSC,0.4,0â€“0,0.8,M'Gladbach,"50,208",Olympiastadion Berlin,Harm Osmers
17,Sun,22/12/2019,15:30 (14:30), Düsseldorf,1,2â€“1,2,Union Berlin,"45,490",Merkur Spielarena,Benjamin Cortus
17,Sun,22/12/2019,18:00 (17:00),Paderborn 07,2.9,2â€“1,2,Eint Frankfurt,"15,000",Benteler-Arena,Markus Schmidt
18,Fri,17/01/2020,20:30 (19:30),Schalke 04,1.5,2â€“0,0.8,M'Gladbach,"62,271",Veltins-Arena,Deniz Aytekin
18,Sat,18/01/2020,15:30 (14:30), Düsseldorf,1,0â€“1,1,Werder Bremen,"46,000",Merkur Spielarena,Felix Brych
18,Sat,18/01/2020,15:30 (14:30),Augsburg,1.8,3â€“5,4.8,Dortmund,"30,660",WWK Arena,Manuel GrÃ¤fe
18,Sat,18/01/2020,15:30 (14:30),Mainz 05,2.5,1â€“2,1.5,Freiburg,"23,138",Opel Arena,Sven Jablonski
18,Sat,18/01/2020,15:30 (14:30),Hoffenheim,0.9,1â€“2,1.5,Eint Frankfurt,"29,610",PreZero Arena,Sascha Stegemann
18,Sat,18/01/2020,15:30 (14:30), Köln,1.3,3â€“1,1.7,Wolfsburg,"49,100",RheinEnergieSTADION,Marco Fritz
18,Sat,18/01/2020,18:30 (17:30),RB Leipzig,2.1,3â€“1,1.4,Union Berlin,"42,146",Red Bull Arena,Bastian Dankert
18,Sun,19/01/2020,15:30 (14:30),Hertha BSC,0.6,0â€“4,2.3,Bayern Munich,"74,667",Olympiastadion Berlin,Tobias Stieler
18,Sun,19/01/2020,18:00 (17:00),Paderborn 07,1.3,1â€“4,2.2,Leverkusen,"14,889",Benteler-Arena,Daniel Siebert
19,Fri,24/01/2020,20:30 (19:30),Dortmund,2.6,5â€“1,1.2, Köln,"81,365",Signal Iduna Park,Harm Osmers
19,Sat,25/01/2020,15:30 (14:30),Freiburg,1.4,0â€“2,1.8,Paderborn 07,"23,500",Schwarzwald-Stadion,Christian Dingert
19,Sat,25/01/2020,15:30 (14:30),Wolfsburg,1.1,1â€“2,1.8,Hertha BSC,"24,894",Volkswagen Arena,Markus Schmidt
19,Sat,25/01/2020,15:30 (14:30),Eint Frankfurt,1.2,2â€“0,1.3,RB Leipzig,"50,300",Commerzbank-Arena,Daniel Siebert
19,Sat,25/01/2020,15:30 (14:30),M'Gladbach,2.3,3â€“1,0.7,Mainz 05,"49,175",Stadion im Borussia-Park,Felix Zwayer
19,Sat,25/01/2020,15:30 (14:30),Union Berlin,1,2â€“0,1.6,Augsburg,"22,012",Stadion An der Alten Försterei,Bibiana Steinhaus
19,Sat,25/01/2020,18:30 (17:30),Bayern Munich,3.4,5â€“0,0.4,Schalke 04,"75,000",Allianz Arena,Manuel GrÃ¤fe
19,Sun,26/01/2020,15:30 (14:30),Werder Bremen,0.7,0â€“3,0.9,Hoffenheim,"40,000",Weserstadion,Martin Petersen
19,Sun,26/01/2020,18:00 (17:00),Leverkusen,3.7,3â€“0,0.7, Düsseldorf,"26,250",BayArena,Daniel Schlager
20,Fri,31/01/2020,20:30 (19:30),Hertha BSC,0.4,0â€“0,0.7,Schalke 04,"47,863",Olympiastadion Berlin,Sascha Stegemann
20,Sat,01/02/2020,15:30 (14:30),Augsburg,1.1,2â€“1,0.5,Werder Bremen,"29,432",WWK Arena,Marco Fritz
20,Sat,01/02/2020,15:30 (14:30),Dortmund,3.3,5â€“0,0.3,Union Berlin,"81,365",Signal Iduna Park,Benjamin Cortus
20,Sat,01/02/2020,15:30 (14:30), Düsseldorf,0.3,1â€“1,1,Eint Frankfurt,"45,018",Merkur Spielarena,Frank Willenborg
20,Sat,01/02/2020,15:30 (14:30),Mainz 05,0.3,1â€“3,1.5,Bayern Munich,"33,305",Opel Arena,Bastian Dankert
20,Sat,01/02/2020,15:30 (14:30),Hoffenheim,3.1,2â€“1,2.5,Leverkusen,"24,489",PreZero Arena,Deniz Aytekin
20,Sat,01/02/2020,18:30 (17:30),RB Leipzig,1.6,2â€“2,1.2,M'Gladbach,"42,146",Red Bull Arena,Tobias Stieler
20,Sun,02/02/2020,15:30 (14:30), Köln,3.6,4â€“0,0.6,Freiburg,"50,000",RheinEnergieSTADION,Robert Kampka
