Week,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee
11,Sun,27/10/2019,15:00 (14:00),Rennes,1.6,3â€“2,1.5,Toulouse,"22,918",Roazhon Park,Antony Gautier
11,Sun,27/10/2019,17:00 (16:00),Saint-Étienne,0.8,2â€“2,1.7,Amiens,"18,877",Stade Geoffroy-Guichard,Amaury Delerue
11,Sun,27/10/2019,21:00 (20:00),Paris S-G,3.3,4â€“0,0.9,Marseille,"47,926",Parc des Princes,Benoît Bastien
12,Fri,01/11/2019,20:45 (19:45),Dijon,0.7,2â€“1,2.6,Paris S-G,"14,859",Stade Gaston Gérard,Ruddy Buquet
12,Sat,02/11/2019,17:30 (16:30),Marseille,0.9,2â€“1,0.5,Lille,"53,321",Orange Vélodrome,Hakim Ben El Hadj Salem
12,Sat,02/11/2019,20:00 (19:00),Toulouse,1.2,2â€“3,2.6,Lyon,"16,225",Stadium Municipal,Karim Abed
12,Sat,02/11/2019,20:00 (19:00),Amiens,1.4,1â€“0,1.2,Brest,"12,246",Stade de la Licorne,Franck Schneider
12,Sat,02/11/2019,20:00 (19:00),Metz,1.7,2â€“2,0.9,Montpellier,"14,644",Stade Saint-Symphorien,Stéphanie Frappart
12,Sat,02/11/2019,20:00 (19:00),Angers,1.2,1â€“0,1.3,Strasbourg,"9,681",Stade Raymond Kopa,Florent Batta
12,Sun,03/11/2019,15:00 (14:00),Bordeaux,1.2,2â€“0,0.7,Nantes,"19,545",Stade Matmut-Atlantique,François Letexier
12,Sun,03/11/2019,17:00 (16:00),Nice,1.1,2â€“0,0.7,Reims,"15,468",Stade de Nice,Jeremy Stinat
12,Sun,03/11/2019,21:00 (20:00),Saint-Étienne,1.5,1â€“0,1.1,Monaco,"15,685",Stade Geoffroy-Guichard, Jérôme Brisard
13,Fri,08/11/2019,20:45 (19:45),Nice,1.1,1â€“1,1.7,Bordeaux,"16,173",Stade de Nice,Johan Hamel
13,Sat,09/11/2019,17:30 (16:30),Brest,1,1â€“2,2,Paris S-G,"15,144",Stade Francis-Le Blé,Mikael Lesage
13,Sat,09/11/2019,20:00 (19:00),Monaco,2.4,1â€“0,1.4,Dijon,"5,223",Stade Louis II.,Eric Wattellier
13,Sat,09/11/2019,20:00 (19:00),Reims,0.4,0â€“0,0.8,Angers,"10,876",Stade Auguste-Delaune II,Hakim Ben El Hadj Salem
13,Sat,09/11/2019,20:00 (19:00),Lille,1.5,0â€“0,0.1,Metz,"33,425",Stade Pierre-Mauroy,Florent Batta
13,Sat,09/11/2019,20:00 (19:00),Strasbourg,3.8,4â€“1,0.7,Nîmes,"24,745",Stade de la Meinau,Ruddy Buquet
13,Sun,10/11/2019,15:00 (14:00),Rennes,2.7,3â€“1,1.1,Amiens,"20,677",Roazhon Park,Benoît Bastien
13,Sun,10/11/2019,17:00 (16:00),Nantes,0.7,2â€“3,0.6,Saint-Étienne,"34,191",Stade de la Beaujoire - Louis Fonteneau, Clément Turpin
13,Sun,10/11/2019,17:00 (16:00),Montpellier,1.2,3â€“0,0.4,Toulouse,"12,734",Stade de la Mosson, Thomas Léonard
13,Sun,10/11/2019,21:00 (20:00),Marseille,1.2,2â€“1,1.2,Lyon,"65,421",Orange Vélodrome,Antony Gautier
