Week,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee
35,Tue,07/07/2020,19:30 (18:30),Valencia,1.5,2â€“1,0.7,Valladolid,,Estadio de Mestalla,Ricardo de Burgos
35,Tue,07/07/2020,22:00 (21:00),Celta Vigo,0.3,1â€“1,1.4,Atlético Madrid,,Estadio de Balaídos,José Sánchez
35,Wed,08/07/2020,20:30 (19:30),Betis,2.1,3â€“0,0.6,Osasuna,,Estadio Benito Villamarín,Alejandro Hernández
35,Wed,08/07/2020,20:30 (19:30),Getafe,0.5,1â€“3,2.1,Villarreal,,Coliseum Alfonso Pérez,Javier Estrada
35,Wed,08/07/2020,22:00 (21:00),Barcelona,1.1,1â€“0,0.8,Espanyol,,Camp Nou,José Luis Munuera
35,Thu,09/07/2020,19:30 (18:30),Mallorca,1.3,2â€“0,1.1,Levante,,Iberostar Estadi,César Soto
35,Thu,09/07/2020,19:30 (18:30),Eibar,0.3,0â€“0,0.3,Leganés,, Estadio Municipal de Ipurúa,Eduardo Prieto
35,Thu,09/07/2020,22:00 (21:00),Athletic Club,0.8,1â€“2,1.6,Sevilla,,San Mamés,David Medié
35,Fri,10/07/2020,19:30 (18:30),Real Sociedad,1.3,2â€“3,0.5,Granada,,Estadio Municipal de Anoeta,Juan Martínez
35,Fri,10/07/2020,22:00 (21:00),Real Madrid,3.1,2â€“0,1.1,Alavés,,Estadio Alfredo Di StÃ©fano, Jesús Gil
36,Sat,11/07/2020,17:00 (16:00),Osasuna,1.4,2â€“1,1.2,Celta Vigo,,Estadio El Sadar, Valentín Pizarro
36,Sat,11/07/2020,19:30 (18:30),Valladolid,1,0â€“1,1.4,Barcelona,,Estadio Municipal José Zorrilla,Antonio Matéu Lahoz
36,Sat,11/07/2020,22:00 (21:00),Atlético Madrid,0.7,1â€“0,1.3,Betis,,Estadio Wanda Metropolitano,José González
36,Sun,12/07/2020,14:00 (13:00),Espanyol,0.8,0â€“2,2.1,Eibar,,RCDE Stadium,Carlos del Cerro
36,Sun,12/07/2020,17:00 (16:00),Levante,1.2,1â€“2,1,Athletic Club,,Estadio Ciudad de Valencia,Alberola Rojas
36,Sun,12/07/2020,19:30 (18:30),Leganés,1.3,1â€“0,1.3,Valencia,,Estadio Municipal de Butarque,Mario Melero
36,Sun,12/07/2020,22:00 (21:00),Sevilla,1.7,2â€“0,0.4,Mallorca,,Estadio Ramón Sánchez Pizjuán,Adrián Cordero
36,Mon,13/07/2020,19:30 (18:30),Alavés,0.2,0â€“0,1,Getafe,,Estadio de Mendizorroza, Pablo González
36,Mon,13/07/2020,19:30 (18:30),Villarreal,0.3,1â€“2,0.9,Real Sociedad,,Estadio de la Cerámica,Guillermo Cuadra
36,Mon,13/07/2020,22:00 (21:00),Granada,0.9,1â€“2,0.5,Real Madrid,,Estadio Nuevo Los Cármenes,Santiago Jaime
37,Thu,16/07/2020,18:30 (17:30),Eibar,2.4,3â€“1,1.8,Valladolid,, Estadio Municipal de Ipurúa,César Soto
37,Thu,16/07/2020,21:00 (20:00),Celta Vigo,1.4,2â€“3,1,Levante,,Estadio de Balaídos,José Luis Munuera
37,Thu,16/07/2020,21:00 (20:00),Valencia,1.3,1â€“0,0.8,Espanyol,,Estadio de Mestalla,Eduardo Prieto
37,Thu,16/07/2020,21:00 (20:00),Real Sociedad,0.6,0â€“0,0.5,Sevilla,,Estadio Municipal de Anoeta,Carlos del Cerro
37,Thu,16/07/2020,21:00 (20:00),Mallorca,1.3,1â€“2,0.7,Granada,,Iberostar Estadi,Javier Estrada
37,Thu,16/07/2020,21:00 (20:00),Getafe,1.4,0â€“2,1.3,Atlético Madrid,,Coliseum Alfonso Pérez,Antonio Matéu Lahoz
37,Thu,16/07/2020,21:00 (20:00),Athletic Club,0.6,0â€“2,1.6,Leganés,,San Mamés,Juan Martínez
37,Thu,16/07/2020,21:00 (20:00),Barcelona,1.4,1â€“2,0.7,Osasuna,,Camp Nou,José Sánchez
